comarca,data_lectura,temp,precip,hume,temp_anterior,precip_anterior,hume_anterior
Alt Penedès,2009-01-01,7.9725,0.6000000000000001,85.85,,,
Alt Penedès,2009-01-02,7.803333333333333,10.7,91.84166666666668,7.9725,0.6000000000000001,85.85
Alt Penedès,2009-01-03,7.153333333333333,4.4,90.59166666666668,7.803333333333333,10.7,91.84166666666668
Alt Penedès,2009-01-04,5.501666666666667,0.0,82.9,7.153333333333333,4.4,90.59166666666668
Alt Penedès,2009-01-05,3.4291666666666667,0.2,76.54166666666667,5.501666666666667,0.0,82.9
Alt Penedès,2009-01-06,2.6075,6.5,84.46666666666667,3.4291666666666667,0.2,76.54166666666667
Alt Penedès,2009-01-07,0.6108333333333333,8.5,81.90833333333333,2.6075,6.5,84.46666666666667
Alt Penedès,2009-01-08,-0.0691666666666666,0.2,74.41666666666667,0.6108333333333333,8.5,81.90833333333333
Alt Penedès,2009-01-09,4.696666666666667,95.8,82.45,-0.0691666666666666,0.2,74.41666666666667
Alt Penedès,2009-01-10,5.665,34.2,90.95,4.696666666666667,95.8,82.45
Alt Penedès,2009-01-11,5.6125,0.2,79.3,5.665,34.2,90.95
Alt Penedès,2009-01-12,4.818333333333333,0.0,75.16666666666667,5.6125,0.2,79.3
Alt Penedès,2009-01-13,3.3541666666666665,0.0,69.13333333333334,4.818333333333333,0.0,75.16666666666667
Alt Penedès,2009-01-14,4.6866666666666665,0.0,75.81666666666666,3.3541666666666665,0.0,69.13333333333334
Alt Penedès,2009-01-15,4.4675,0.3,78.875,4.6866666666666665,0.0,75.81666666666666
Alt Penedès,2009-01-16,5.405,0.1,81.89166666666667,4.4675,0.3,78.875
Alt Penedès,2009-01-17,5.677499999999999,0.2,81.84166666666667,5.405,0.1,81.89166666666667
Alt Penedès,2009-01-18,6.906666666666666,0.2,72.075,5.677499999999999,0.2,81.84166666666667
Alt Penedès,2009-01-19,10.159166666666666,2.9,75.50833333333334,6.906666666666666,0.2,72.075
Alt Penedès,2009-01-20,7.265,0.2,60.05,10.159166666666666,2.9,75.50833333333334
Alt Penedès,2009-01-21,4.805833333333334,0.0,61.025,7.265,0.2,60.05
Alt Penedès,2009-01-22,6.458333333333333,0.3,69.48333333333333,4.805833333333334,0.0,61.025
Alt Penedès,2009-01-23,13.935833333333331,0.0,69.46666666666667,6.458333333333333,0.3,69.48333333333333
Alt Penedès,2009-01-24,10.875,0.6000000000000001,49.69166666666667,13.935833333333331,0.0,69.46666666666667
Alt Penedès,2009-01-25,8.979999999999999,0.0,53.16666666666666,10.875,0.6000000000000001,49.69166666666667
Alt Penedès,2009-01-26,6.4775,0.2,60.03333333333333,8.979999999999999,0.0,53.16666666666666
Alt Penedès,2009-01-27,7.783333333333333,0.0,54.766666666666666,6.4775,0.2,60.03333333333333
Alt Penedès,2009-01-28,9.279166666666669,0.0,63.75833333333333,7.783333333333333,0.0,54.766666666666666
Alt Penedès,2009-01-29,8.363333333333333,0.0,86.48333333333333,9.279166666666669,0.0,63.75833333333333
Alt Penedès,2009-01-30,10.133333333333333,0.0,86.525,8.363333333333333,0.0,86.48333333333333
Alt Penedès,2009-01-31,9.495,117.7,92.95833333333331,10.133333333333333,0.0,86.525
Alt Penedès,2009-02-01,7.81,58.1,93.675,9.495,117.7,92.95833333333331
Alt Penedès,2009-02-02,7.500833333333333,9.8,92.95833333333331,7.81,58.1,93.675
Alt Penedès,2009-02-03,7.940833333333333,5.8,76.20833333333333,7.500833333333333,9.8,92.95833333333331
Alt Penedès,2009-02-04,8.208333333333334,0.0,70.46666666666667,7.940833333333333,5.8,76.20833333333333
Alt Penedès,2009-02-05,8.145,0.2,84.1,8.208333333333334,0.0,70.46666666666667
Alt Penedès,2009-02-06,7.39,2.2,79.24166666666666,8.145,0.2,84.1
Alt Penedès,2009-02-07,5.463333333333334,0.2,63.00833333333333,7.39,2.2,79.24166666666666
Alt Penedès,2009-02-08,6.329166666666667,0.0,54.075,5.463333333333334,0.2,63.00833333333333
Alt Penedès,2009-02-09,10.635833333333332,0.0,66.01666666666667,6.329166666666667,0.0,54.075
Alt Penedès,2009-02-10,11.228333333333332,0.0,49.69166666666667,10.635833333333332,0.0,66.01666666666667
Alt Penedès,2009-02-11,6.601666666666668,0.5,68.225,11.228333333333332,0.0,49.69166666666667
Alt Penedès,2009-02-12,5.935833333333333,0.0,78.94166666666666,6.601666666666668,0.5,68.225
Alt Penedès,2009-02-13,5.904166666666667,0.0,71.90833333333333,5.935833333333333,0.0,78.94166666666666
Alt Penedès,2009-02-14,6.492500000000001,0.0,72.91666666666667,5.904166666666667,0.0,71.90833333333333
Alt Penedès,2009-02-15,5.802499999999999,0.0,71.30833333333334,6.492500000000001,0.0,72.91666666666667
