comarca,codi_variable,data_lectura,valor_lectura
Vallès Oriental,35,2009-01-01,0.0
Vallès Oriental,35,2009-01-02,0.8
Vallès Oriental,35,2009-01-03,0.0
Vallès Oriental,35,2009-01-04,0.2
Vallès Oriental,35,2009-01-05,0.2
Vallès Oriental,35,2009-01-06,43.2
Vallès Oriental,35,2009-01-07,0.6000000000000001
Vallès Oriental,35,2009-01-08,0.2
Vallès Oriental,35,2009-01-09,13.200000000000001
Vallès Oriental,35,2009-01-10,45.0
Vallès Oriental,35,2009-01-11,0.2
Vallès Oriental,35,2009-01-12,0.30000000000000004
Vallès Oriental,35,2009-01-13,0.4
Vallès Oriental,35,2009-01-14,0.0
Vallès Oriental,35,2009-01-15,0.30000000000000004
Vallès Oriental,35,2009-01-16,0.2
Vallès Oriental,35,2009-01-17,0.0
Vallès Oriental,35,2009-01-18,0.30000000000000004
Vallès Oriental,35,2009-01-19,5.1000000000000005
Vallès Oriental,35,2009-01-20,1.1
Vallès Oriental,35,2009-01-21,0.2
Vallès Oriental,35,2009-01-22,1.4000000000000001
Vallès Oriental,35,2009-01-23,0.2
Vallès Oriental,35,2009-01-24,0.2
Vallès Oriental,35,2009-01-25,0.0
Vallès Oriental,35,2009-01-26,1.0
Vallès Oriental,35,2009-01-27,0.0
Vallès Oriental,35,2009-01-28,0.2
Vallès Oriental,35,2009-01-29,0.2
Vallès Oriental,35,2009-01-30,0.2
Vallès Oriental,35,2009-01-31,120.8
Vallès Oriental,35,2009-02-01,51.7
Vallès Oriental,35,2009-02-02,24.3
Vallès Oriental,35,2009-02-03,45.1
Vallès Oriental,35,2009-02-04,0.2
Vallès Oriental,35,2009-02-05,0.5
Vallès Oriental,35,2009-02-06,6.1000000000000005
Vallès Oriental,35,2009-02-07,1.0
Vallès Oriental,35,2009-02-08,0.0
Vallès Oriental,35,2009-02-09,0.2
Vallès Oriental,35,2009-02-10,0.0
Vallès Oriental,35,2009-02-11,0.0
Vallès Oriental,35,2009-02-12,0.0
Vallès Oriental,35,2009-02-13,0.0
Vallès Oriental,35,2009-02-14,0.2
Vallès Oriental,35,2009-02-15,0.0
Vallès Oriental,35,2009-02-16,0.0
Vallès Oriental,35,2009-02-17,0.2
Vallès Oriental,35,2009-02-18,0.0
Vallès Oriental,35,2009-02-19,0.2
Vallès Oriental,35,2009-02-20,0.0
Vallès Oriental,35,2009-02-21,0.0
Vallès Oriental,35,2009-02-22,0.0
Vallès Oriental,35,2009-02-23,0.0
Vallès Oriental,35,2009-02-24,0.4
Vallès Oriental,35,2009-02-25,0.0
Vallès Oriental,35,2009-02-26,0.2
Vallès Oriental,35,2009-02-27,0.2
Vallès Oriental,35,2009-02-28,0.0
Vallès Oriental,35,2009-03-01,2.7
Vallès Oriental,35,2009-03-02,5.4
Vallès Oriental,35,2009-03-03,2.0
Vallès Oriental,35,2009-03-04,8.4
Vallès Oriental,35,2009-03-05,0.30000000000000004
Vallès Oriental,35,2009-03-06,0.0
Vallès Oriental,35,2009-03-07,0.0
Vallès Oriental,35,2009-03-08,0.0
Vallès Oriental,35,2009-03-09,0.4
Vallès Oriental,35,2009-03-10,0.5
Vallès Oriental,35,2009-03-11,0.0
Vallès Oriental,35,2009-03-12,0.5
Vallès Oriental,35,2009-03-13,0.0
Vallès Oriental,35,2009-03-14,0.2
Vallès Oriental,35,2009-03-15,0.0
Vallès Oriental,35,2009-03-16,0.0
Vallès Oriental,35,2009-03-17,0.0
Vallès Oriental,35,2009-03-18,0.0
Vallès Oriental,35,2009-03-19,0.0
Vallès Oriental,35,2009-03-20,0.0
Vallès Oriental,35,2009-03-21,0.0
Vallès Oriental,35,2009-03-22,0.0
Vallès Oriental,35,2009-03-23,0.2
Vallès Oriental,35,2009-03-24,0.0
Vallès Oriental,35,2009-03-25,0.0
Vallès Oriental,35,2009-03-26,0.0
Vallès Oriental,35,2009-03-27,0.0
Vallès Oriental,35,2009-03-28,53.4
Vallès Oriental,35,2009-03-29,24.6
Vallès Oriental,35,2009-03-30,3.2
Vallès Oriental,35,2009-03-31,80.5
Vallès Oriental,35,2009-04-01,13.1
Vallès Oriental,35,2009-04-02,31.400000000000002
Vallès Oriental,35,2009-04-03,0.2
Vallès Oriental,35,2009-04-04,0.2
Vallès Oriental,35,2009-04-05,0.0
Vallès Oriental,35,2009-04-06,0.2
Vallès Oriental,35,2009-04-07,65.0
Vallès Oriental,35,2009-04-08,0.6000000000000001
Vallès Oriental,35,2009-04-09,0.0
Vallès Oriental,35,2009-04-10,17.8
Vallès Oriental,35,2009-04-11,35.8
Vallès Oriental,35,2009-04-12,13.4
