comarca,codi_variable,data_lectura,valor_lectura
Vallès Oriental,32,2009-01-01,8.059722222222222
Vallès Oriental,32,2009-01-02,7.416666666666667
Vallès Oriental,32,2009-01-03,5.665277777777778
Vallès Oriental,32,2009-01-04,4.345833333333333
Vallès Oriental,32,2009-01-05,3.138823529411765
Vallès Oriental,32,2009-01-06,1.0354166666666667
Vallès Oriental,32,2009-01-07,0.153125
Vallès Oriental,32,2009-01-08,-0.5395833333333333
Vallès Oriental,32,2009-01-09,4.4750000000000005
Vallès Oriental,32,2009-01-10,6.235416666666667
Vallès Oriental,32,2009-01-11,5.575
Vallès Oriental,32,2009-01-12,4.286458333333333
Vallès Oriental,32,2009-01-13,3.704166666666667
Vallès Oriental,32,2009-01-14,5.190625
Vallès Oriental,32,2009-01-15,4.052083333333333
Vallès Oriental,32,2009-01-16,4.689583333333333
Vallès Oriental,32,2009-01-17,5.266666666666667
Vallès Oriental,32,2009-01-18,5.596875
Vallès Oriental,32,2009-01-19,8.94375
Vallès Oriental,32,2009-01-20,6.902083333333334
Vallès Oriental,32,2009-01-21,3.205208333333333
Vallès Oriental,32,2009-01-22,4.639583333333333
Vallès Oriental,32,2009-01-23,11.727083333333333
Vallès Oriental,32,2009-01-24,10.146875
Vallès Oriental,32,2009-01-25,7.070833333333333
Vallès Oriental,32,2009-01-26,5.772916666666667
Vallès Oriental,32,2009-01-27,5.964583333333334
Vallès Oriental,32,2009-01-28,6.784375
Vallès Oriental,32,2009-01-29,7.645833333333333
Vallès Oriental,32,2009-01-30,9.3125
Vallès Oriental,32,2009-01-31,9.5
Vallès Oriental,32,2009-02-01,7.741666666666667
Vallès Oriental,32,2009-02-02,7.7406250000000005
Vallès Oriental,32,2009-02-03,6.351041666666667
Vallès Oriental,32,2009-02-04,6.8999999999999995
Vallès Oriental,32,2009-02-05,6.982291666666666
Vallès Oriental,32,2009-02-06,6.267708333333334
Vallès Oriental,32,2009-02-07,5.0625
Vallès Oriental,32,2009-02-08,4.8374999999999995
Vallès Oriental,32,2009-02-09,8.413541666666667
Vallès Oriental,32,2009-02-10,10.297916666666667
Vallès Oriental,32,2009-02-11,4.989583333333333
Vallès Oriental,32,2009-02-12,6.205208333333334
